emotion	sub_emotion	condition	sub_condition	cbt_exercise	wellness_challenge
Happiness	Excitement	Social	With friends	Plan the first project step together	Start weekly collaborative project sessions
Happiness	Excitement	Outdoor	Alone in nature	Visualize goals using all five senses	Explore a new outdoor location weekly
Happiness	Excitement	Home	Planning activities	List three achievable things to anticipate	Plan monthly local adventure outings
Happiness	Excitement	Travel	Family journey	Share positive observations during travel	Start family gratitude sharing rituals
Happiness	Excitement	Entertainment	Group event	Immerse fully in the live experience	Try a new entertainment activity monthly
Happiness	Joy	Home	With pets	Connect mindfully with your animals	Volunteer at local animal shelters monthly
Happiness	Joy	Home	Cooking for others	Infuse intention and care into preparation	Cook a special meal for yourself weekly
Happiness	Joy	Digital	Receiving good news	Journal about its personal significance	Maintain a daily joy recording practice
Happiness	Joy	Outdoor	Watching children play	Observe their play without interfering	Schedule weekly playful activities for yourself
Happiness	Joy	Outdoor	Beautiful weather	Savor the sensory weather experiences	Spend intentional time outdoors daily
Happiness	Contentment	Home	Quiet moments	Identify and embrace the contentment	Establish daily calming rituals
Happiness	Contentment	Home	Bedtime routine	Perform body scan for positive sensations	Practice nightly gratitude reflection
Happiness	Contentment	Home	After completing tasks	Verbally acknowledge what you finished	Practice weekly decluttering sessions
Happiness	Contentment	Outdoor	Solitary walks	Synchronize breathing with your steps	Take weekly digital detox walks
Happiness	Contentment	Social	Companionable silence	Express quiet appreciation to others	Schedule regular device-free time together
Happiness	Amusement	Home	Solo entertainment	Allow yourself to laugh freely	Follow positive humor content regularly
Happiness	Amusement	Social	Story sharing	Share and exaggerate amusing anecdotes	Keep an amusement and humor journal
Happiness	Amusement	Public	People watching	Share funny observations with others	Join improvisational comedy activities
Happiness	Amusement	Social	Playing group games	Focus on the play experience itself	Host weekly game nights with friends
Happiness	Amusement	Home	Reading comedy	Analyze the mechanics of humor	Start a comedy-focused book club
Happiness	Serenity	Home	Looking out windows	Mindfully identify the sounds you hear	Create a personal calm space at home
Happiness	Serenity	Outdoor	Garden time	Focus on small natural details	Practice morning silence rituals
Happiness	Serenity	Home	After exercising	Notice the physical relaxation present	Practice daily mindfulness minutes
Happiness	Serenity	Public	In quiet spaces	Match the peaceful pace of environment	Visit a peaceful place weekly
Happiness	Serenity	Home	Early morning hours	Cherish the morning stillness	Wake up early for quiet time
Happiness	Pride	Work	After achievement	List your specific successes	Maintain an ongoing accomplishment file
Happiness	Pride	Fitness	Reaching personal best	Acknowledge the journey of progress	Set weekly process-oriented goals
Happiness	Pride	Family	Sharing success	Accept compliments fully and graciously	Mentor someone in your field monthly
Happiness	Pride	Home	After problem solving	Praise your persistence out loud	Create visual progress tracking systems
Happiness	Pride	Home	After organizing	Make mental before-and-after comparisons	Organize one area monthly
Anger	Rage	Travel	Solo commute	Practice systematic progressive muscle release	Establish pre-commute breathing routines
Anger	Rage	Home	After conflict	Release energy through safe physical activity	Channel anger into structured workouts
Anger	Rage	Public	In crowds	Find a cooling-off space immediately	Identify your personal crowd triggers
Anger	Rage	Digital	Reading messages	Write a response then delete it	Implement a 24-hour response waiting rule
Anger	Rage	Work	Feeling disrespected	Ground yourself through your feet	Practice assertive communication skills
Anger	Frustration	Home	Dealing with broken items	Step away then approach systematically	Learn basic repair skills
Anger	Frustration	Shopping	Waiting in lines	Observe your environment mindfully	Shop during off-peak hours
Anger	Frustration	Work	Facing difficult tasks	Use a timed break system	Implement the Pomodoro technique
Anger	Frustration	Home	Gaming losses	Remind yourself of the learning process	Set reasonable loss limits for gaming
Anger	Frustration	Phone	Automated customer service	Practice extended exhale breathing	Prepare mentally before calling
Anger	Irritation	Home	Noise pollution	Name the irritation feeling specifically	Invest in noise-canceling solutions
Anger	Irritation	Social	Hearing annoying sounds	Redirect attention to your breathing	Use irritation as a mindfulness cue
Anger	Irritation	Public	Slow-moving people	Treat it as an observation opportunity	Schedule extra buffer time into plans
Anger	Irritation	Work	Slow technology	Take a brief stretching break	Organize your digital workspace
Anger	Irritation	Social	Being interrupted	Use a physical pause as reminder	Practice active listening techniques
Anger	Annoyance	Work	Coworker habits	Recognize your internal narrative about it	Communicate respectfully in private
Anger	Annoyance	Digital	Constant notifications	Use strategic focus modes	Curate your notification settings
